items_availability,items_manufacturer,items_name,items_old_price,items_price
 Out of Stock,ASUS,ASUS Gaming Laptop X570ZD,,Rs. 156250
 Out of Stock,ASUS,ASUS VivoBook Pro N580GD,,Rs. 192500
 Out of Stock,ASUS,"ASUS ROG Strix Scar Edition 120Hz  Gaming Laptop, 8th-Gen Intel Core i7-8750H Processor",,Rs. 215000
 In Stock,ASUS,"Asus ROG Strix Scar 15 2021 G533QM Ryzen 9 5900HX / RTX 3060 / 16GB RAM / 1TB SSD / 15.6"" FHD 300Hz Display",,"Rs. 288,000"
 In Stock,ASUS,"Asus VivoBook 15 X515JP i7 10th Gen / NVIDIA MX330 / 8GB RAM/ 512GB SSD / 15.6"" FHD display.",,"Rs. 122,000"
 In Stock,ASUS,"Asus ROG Strix Scar 15 2021 G533QR Ryzen 9 5900HX / RTX 3070 / 32GB RAM / 1TB SSD / 15.6"" FHD 300Hz Display.",,"Rs. 361,000"
 In Stock,ASUS,ASUS ZenBook 14 UX435EG (i5 11th Gen),,Rs. 153000
 In Stock,1.6,"Asus ROG Zephyrus M16 GU603HM i9 11th Gen / RTX 3060 / 32GB RAM / 1TB SSD / 16"" WQXGA Display 144Hz display",Rs. 345000,Rs. 339000
 In Stock,ASUS,ASUS ZenBook 14 UM425IA Ryzen 7 4700U / Vega 8 Graphics Card / 16GB RAM / 512GB SSD / 14'' FHD / Magic NumPad / Grey / Lilac Mist,Rs. 144000,Rs. 142000
 In Stock,ASUS,ASUS E410 Intel Celeron N4020 4GB 128GB eMMC 14-inch HD LED Win 10 Laptop (Blue),Rs. 53000,Rs. 49000
 In Stock,ASUS,"ASUS TUF Dash F15 FX516PE - (i7-11th Gen 11370H/ RTX 3050Ti / 16GB RAM / 1TB SSD / 15.6"" FHD 144Hz Display",Rs. 198999,Rs. 196500
 In Stock,ASUS,"ASUS VIVOBOOK S14 S433EQ - ULTRABOOK, 11th, i5, MX350 2GB, 8, 512 GB NVMe SSD, 14"" FHD , FINGERPRINT, Genuine Win 10, 2 years, Green, BACKLIT KB, Backpack, Mouse",Rs. 122000,Rs. 118800
 In Stock,ACER,"Acer Nitro 5 2021 i5 11TH GEN/ GTX 1650/ 15.6"" FHD 144Hz/ 8GB RAM/ 512GB SSD",Rs. 128000,Rs. 123000
 In Stock,ACER,Acer NITRO AN515-55-53AG Core-i5-10th GEN/8GB/256GB SSD/4gb Graphics/Win-10 ,Rs. 128000,Rs. 125000
 In Stock,ASUS,"Acer Nitro 5 2021 AMD Ryzen 5 5600H / GTX 1650 / 8GB RAM / 512GB SSD / 15.6"" FHD 144Hz display",Rs. 132000,Rs. 127500
 In Stock,ACER,"Acer Predator Triton 300 SE 2021 i7 11TH GEN / RTX 3050Ti / 16GB RAM/ 512GB SSD / 14"" FHD 144Hz display",Rs. 183000,Rs. 179500
 In Stock,ACER,"Acer Aspire Vero 2021 i5 11th Gen / 16GB RAM / 512GB SSD / 15.6"" FHD Display / Backlight Keyboard",Rs. 101000,Rs. 95000
 In Stock,ACER,"ACER ASPIRE E5-475-34PX  i3"" 14"" 4GB/1TB",Rs. 55500,Rs. 52752
 In Stock,ACER,"Acer EX215-52-56N2 | i5 1035, 4gb, 1Tb, 15.6"" DOS",Rs. 91250,Rs. 78000
 In Stock,ACER,"ACER Travelmate TMP249 i3 14"" 4GB/1TB",Rs. 59000,Rs. 56050
 In Stock,ACER,"ACER Travelmate TMP249 15.6"" 4GB/1TB",Rs. 59000,Rs. 56050
 In Stock,ACER,"ACER ASPIRE E5-576 i3 15.6"" 4GB/1TB",Rs. 56500,Rs. 53575
 In Stock,ACER,"ACER ASPIRE E5-475 i5"" 14"" 4GB/1TB",Rs. 66500,Rs. 63175
 In Stock,ACER,"ACER ASPIRE E5-576 i5"" 15.6"" 4GB/1TB",Rs. 69000,Rs. 65550
 In Stock,ACER,"ACER ASPIRE E5-576G i5"" 15.6"" 4GB/1TB",Rs. 75500,Rs. 71750
 In Stock,ACER,"ACER ASPIRE E5-476G i5"" 14"" 4GB/1000GB",Rs. 70500,Rs. 66975
 In Stock,ACER,"ACER ASPIRE E5-476G i7"" 14"" 8GB/1TB",Rs. 100000,Rs. 95000
 In Stock,ACER,"ACER ASPIRE E5-576G i7"" 14"" 8GB/1TB",Rs. 102000,Rs. 96900
 In Stock,ACER,"Acer TMP 2410-G2-M/ I5/ 8th Gen/ 4 GB/ 1 TB/ 14"" Notebook",,Rs. 71500
 In Stock,ACER,"Acer TMP 2510-G2-MG/ I7/ 8th Gen/ 4 GB/ 1 TB/ 15.6"" Notebook",,Rs. 105000
 In Stock,Transcend,Acer SP513-I5 8250,,Rs. 125000
 In Stock,ACER,Aspire 3 Aspire 3 A314-32-37YV,,Rs. 41500
 In Stock,ACER,Acer Predator Helios,,Rs. 230000
 In Stock,ACER,"Acer A315-53-57UN  I5/4GB DDR4/1TB/8th/15.6"" Notebook",,Rs. 55000
 In Stock,ACER,ACER Travel Mate P2 TMP 2510-G2-m-36QH,,Rs. 59500
 In Stock,ACER,ACER Aspire A515-52-315Q,,Rs. 59100
 In Stock,ACER,ACER Aspire A515-52-36PF,,Rs. 59500
 In Stock,ACER,ACER Aspire A515-52-52M4,,Rs. 72700
 In Stock,ACER,Acer TravelMate P2 TMP2510-G2-M-529Z,,Rs. 73000
 In Stock,ACER,ACER Aspire A315-53-57UN,,Rs. 75000
 In Stock,ACER,"Acer Aspire E5-476 I5/4GB DDR4/1TB/8th/14"" Notebook",,Rs. 76250
 In Stock,ACER,"ACER Aspire E5-576-52KC I5/4GB DDR3L/1TB/8th/15.6"" Notebook",,Rs. 76250
 In Stock,ACER,"ACER Travel Mate TMP249 G2 Intel Core i5-8250U /8th Gen / 4 GB DDR5 RAM / 1 TB HDD / 14 Display""",,Rs. 79750
 In Stock,ACER,"ACER Aspire (E5-576G) Intel Core i5 -8250U / 8th Gen / 4 GB DDR3 L/ 1 TB  / 15.6""  / NVIDIA Geforce MX130 2GB DDR5",,Rs. 82000
 In Stock,ACER,ACER Nitro 5 AN515-52-79EU,,Rs. 157500
 In Stock,HP,"HP 14- i3-10th GEN | 4GB RAM| 1TB HDD| 14.1"" FHD DISPLAY| WIN-10",Rs. 63000,Rs. 65000
 In Stock,HP,"HP LAPTOP 15S-EQ2110AU AMD Ryzen3-5300U, DDR4 4GB RAM, 256GB PCIe SSD, 15.6"" FHD Antiglare IPS",Rs. 63700,Rs. 62490
 In Stock,HP,"HP Laptop 14s-dq2556TU-I5-Intel Core i5 Processor 14 inches HD Laptop, 8GB/512GB SSD-14 inch-Windows 10",Rs. 93000,Rs. 91000
 In Stock,HP,HP Laptop 15s-du3507TX-Intel CoreI5 1135G7-8gb/512GB-15.6 inch IPS FHD| Windows 10 Home,Rs. 103000,Rs. 101000
 In Stock,HP,"HP LAPTOP 14S-DQ2555TU Intel® Core™ i5-1135G7, 8 GB DDR4-3200 MHz RAM, 512 GB M.2 PCIe® NVMe™ SSD, 14"" diagonal, FHD (1920 x 1080), IPS",Rs. 95000,Rs. 93000
 In Stock,HP,HP Laptop 15s-DU3542TU-Intel CoreI I71165G7-8gb/512GB-15.6 inch IPS FHD| Windows 10 Home,Rs. 116000,Rs. 114000
 In Stock,HP,HP Laptop 15s-DU3538TU-Intel CoreI I51135G7-8gb/512GB-15.6 inch IPS FHD| Windows 10 Home,Rs. 89000,Rs. 85500
